date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:58:21	40989/40989	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2007:58:21%20GMT	https://termius.com/privacy-policy	/home/serverlogin/websites/fb/termius.com/privacy-policy.html	(from )
07:58:23	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2002%20Jan%202020%2007:58:22%20GMT	https://termius.com/robots.txt		(from )
07:58:23	63138/63138	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2007:58:23%20GMT	https://termius.com/pricing	/home/serverlogin/websites/fb/termius.com/pricing.html	(from https://termius.com/privacy-policy)
07:58:24	38398/38398	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2007:58:24%20GMT	https://termius.com/	/home/serverlogin/websites/fb/termius.com/index.html	(from https://termius.com/privacy-policy)
07:58:24	28234/28234	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2007:58:24%20GMT	https://termius.com/teams	/home/serverlogin/websites/fb/termius.com/teams.html	(from https://termius.com/privacy-policy)
07:58:25	23267/23267	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2007:58:25%20GMT	https://termius.com/ios	/home/serverlogin/websites/fb/termius.com/ios.html	(from https://termius.com/privacy-policy)
07:58:26	23837/23837	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2007:58:26%20GMT	https://termius.com/android	/home/serverlogin/websites/fb/termius.com/android.html	(from https://termius.com/privacy-policy)
07:58:27	23826/23826	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2007:58:27%20GMT	https://termius.com/mac-os	/home/serverlogin/websites/fb/termius.com/mac-os.html	(from https://termius.com/privacy-policy)
07:58:28	23897/23897	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2007:58:28%20GMT	https://termius.com/windows	/home/serverlogin/websites/fb/termius.com/windows.html	(from https://termius.com/privacy-policy)
07:58:29	23757/23757	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2007:58:29%20GMT	https://termius.com/linux	/home/serverlogin/websites/fb/termius.com/linux.html	(from https://termius.com/privacy-policy)
07:58:30	32500/32500	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2007:58:30%20GMT	https://termius.com/education	/home/serverlogin/websites/fb/termius.com/education.html	(from https://termius.com/privacy-policy)
07:58:31	32907/32907	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2007:58:31%20GMT	https://termius.com/beta-program	/home/serverlogin/websites/fb/termius.com/beta-program.html	(from https://termius.com/privacy-policy)
07:58:32	25883/25883	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2007:58:32%20GMT	https://termius.com/careers	/home/serverlogin/websites/fb/termius.com/careers.html	(from https://termius.com/privacy-policy)
07:58:33	22984/22984	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2007:58:33%20GMT	https://termius.com/brand-resources	/home/serverlogin/websites/fb/termius.com/brand-resources.html	(from https://termius.com/privacy-policy)
07:58:34	30550/30550	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2007:58:34%20GMT	https://termius.com/terms-of-use	/home/serverlogin/websites/fb/termius.com/terms-of-use.html	(from https://termius.com/privacy-policy)
07:58:35	23830/23830	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2007:58:35%20GMT	https://termius.com/download	/home/serverlogin/websites/fb/termius.com/download.html	(from https://termius.com/pricing)
07:58:36	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2002%20Jan%202020%2007:58:36%20GMT	https://termius.com/careers/product-designer	/home/serverlogin/websites/fb/termius.com/careers/product-designer	(from https://termius.com/careers)
07:58:37	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2002%20Jan%202020%2007:58:37%20GMT	https://termius.com/careers/backend-developer	/home/serverlogin/websites/fb/termius.com/careers/backend-developer	(from https://termius.com/careers)
07:58:38	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2002%20Jan%202020%2007:58:38%20GMT	https://termius.com/careers/qa-engineer	/home/serverlogin/websites/fb/termius.com/careers/qa-engineer	(from https://termius.com/careers)
07:58:40	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2002%20Jan%202020%2007:58:39%20GMT	https://termius.com/careers/product-designer	/home/serverlogin/websites/fb/termius.com/careers/product-designer.html	(from https://termius.com/careers)
07:58:40	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2002%20Jan%202020%2007:58:39%20GMT	https://termius.com/careers/qa-engineer	/home/serverlogin/websites/fb/termius.com/careers/qa-engineer.html	(from https://termius.com/careers)
07:58:40	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2002%20Jan%202020%2007:58:39%20GMT	https://termius.com/careers/backend-developer	/home/serverlogin/websites/fb/termius.com/careers/backend-developer.html	(from https://termius.com/careers)
07:58:42	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2002%20Jan%202020%2007:58:40%20GMT	https://termius.com/careers/product-designer	/home/serverlogin/websites/fb/termius.com/careers/product-designer.html	(from https://termius.com/careers)
07:58:42	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2002%20Jan%202020%2007:58:41%20GMT	https://termius.com/careers/backend-developer	/home/serverlogin/websites/fb/termius.com/careers/backend-developer.html	(from https://termius.com/careers)
07:58:42	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2002%20Jan%202020%2007:58:41%20GMT	https://termius.com/careers/qa-engineer	/home/serverlogin/websites/fb/termius.com/careers/qa-engineer.html	(from https://termius.com/careers)
